"long","lat","bio1","bio12"
-67.3541666663265,-26.1875000003105,10.4088296890259,66
-69.2291666663415,-26.1041666669765,7.18149995803833,29
-67.3958333329935,-26.1041666669765,10.1934995651245,62
-67.1458333329915,-25.9791666669755,3.00799989700317,112
-67.1874999996585,-25.9791666669755,4.13183403015137,106
-67.7291666663295,-25.7291666669735,10.465669631958,47
-69.3541666663425,-25.4791666669715,11.1160001754761,12
-67.1874999996585,-25.4375000003045,6.65416717529297,82
-68.8958333330055,-25.1875000003025,8.20600032806396,27
-68.7291666663375,-25.1041666669685,6.4433331489563,32
-68.6874999996705,-25.1041666669685,6.53249979019165,33
-69.0624999996735,-25.1041666669685,7.0538330078125,38
-68.6458333330035,-25.0625000003015,7.18050003051758,33
-68.2291666663335,-25.0625000003015,6.59416723251343,43
-68.6041666663365,-24.9791666669675,7.5310001373291,28
-69.0208333330065,-24.9791666669675,8.1875,21
-68.7291666663375,-24.9791666669675,6.982666015625,29
-68.9374999996725,-24.9791666669675,7.71150016784668,30
-68.7708333330045,-24.9791666669675,7.50216722488403,27
-69.1041666663405,-24.9791666669675,7.21400022506714,24
-68.6041666663365,-24.8958333336335,5.23183298110962,39
-68.6041666663365,-24.7708333336325,3.1096670627594,45
-68.0624999996655,-24.7291666669655,4.93300008773804,54
-69.0208333330065,-24.7291666669655,11.2853298187256,13
-68.6458333330035,-24.6875000002985,4.43433284759521,41
-68.5208333330025,-24.6875000002985,-0.404500007629395,69
-68.6874999996705,-24.6458333336315,6.14133310317993,32
-68.9374999996725,-24.6458333336315,11.0865001678467,15
-68.3541666663345,-24.6458333336315,4.19049978256226,46
-68.6041666663365,-24.6041666669645,5.60349988937378,36
-68.5208333330025,-24.6041666669645,1.6273330450058,57
-67.4374999996605,-24.5625000002975,9.62183284759521,62
-68.6874999996705,-24.5625000002975,7.32516717910767,26
-66.1874999996505,-24.5208333336305,7.13649988174438,145
-68.4791666663355,-24.4791666669635,4.45433282852173,45
-65.9791666663155,-24.4375000002965,10.6816701889038,167
-69.5208333330105,-24.4375000002965,15.6044998168945,8
-68.4374999996685,-24.4375000002965,6.91599988937378,35
-68.2708333330005,-24.3958333336295,2.74866700172424,61
-68.4374999996685,-24.3958333336295,8.09816646575928,30
-68.4791666663355,-24.3958333336295,7.1100001335144,33
-68.9791666663395,-24.3541666669625,9.48900032043457,16
-66.2291666663175,-24.3541666669625,6.81966686248779,141
-66.9374999996565,-24.3125000002955,7.92633295059204,86
-66.3124999996515,-24.2291666669615,8.15716552734375,131
-68.4791666663355,-24.1875000002945,9.02849960327148,28
-68.4374999996685,-24.1458333336275,9.54850006103516,28
-68.3541666663345,-24.1458333336275,10.9518299102783,26
-67.5624999996615,-24.1041666669605,8.79766654968262,57
-68.3124999996675,-24.0625000002935,10.5579996109009,29
-68.2708333330005,-24.0625000002935,11.0469999313354,29
-66.2291666663175,-23.9791666669595,9.72850036621094,135
-67.4791666663275,-23.9791666669595,4.92833280563354,75
-67.7291666663295,-23.9375000002925,6.24350023269653,58
-67.6041666663285,-23.9375000002925,6.2810001373291,62
-67.7291666663295,-23.8958333336255,5.79533290863037,60
-67.9791666663315,-23.8958333336255,8.59483337402344,46
-66.1458333329835,-23.8958333336255,10.1218299865723,142
-67.4374999996605,-23.8958333336255,4.72550010681152,76
-67.8124999996635,-23.8958333336255,6.02716684341431,57
-67.1041666663245,-23.8541666669585,7.4603328704834,81
-67.4791666663275,-23.8541666669585,4.26016712188721,77
-67.8541666663305,-23.8541666669585,7.04250001907349,54
-67.8541666663305,-23.7708333336245,7.61583280563354,56
